id,text,label
0,"ulon 'm keun reusam suci klien loem , nyou mandum plihara fees , October 1st , 2018 , nyan 's leu ciet meuhai , bos .",negative
1,"Somehow , soe 's gamba lam nyan itingeuh dari saboh lhok misteri ngeun mbong laen jih ureueng , kiban bisa Nyan jeut ?",negative
5,"Unethical , interfering , luwat ureueng . Convert tiep barang seulawet seting ateuh , beuh pu manteung gata pubuet n't tem , ngeun pubuet n't timoh di ureueng 's saket .",negative
6,"Witch doto , yang butoi sorry keu nyan kroban 's aneuk kumuen , man barangkapue galak Nyan pubuet n't yang butoi iluwa kemampuan lon impati",negative
10,"Waking ateuh i 3 lam nyan beungeuh , mato approaching di saboh misterius rot , jeum di saboh panggong dealing misterius deals , ngeun saboh joging ureung ineung , oh ata long God , nyan 's man surreal .",negative
11,"Sanskirt jagong esensi nakeuh saboh musti - ci lheuh pajoh Toddler maji jagong , nyan 's saboh pasangan dari saboh mouthful , jeuet nyan pade - jus pasangan well ngeun nyan .",positive
13,"ulon pubuet n't care , ulon pubuet n't padahai ka wate ho dheut atra cunto siblah teuga siben driver , toep nyan detil",negative
16,"keun vaksinasi , no darah donation , no rekognisi uleh nyan pemerentah , Tsonga bos . Heavy darah teukanan , maji mandum diateuh , ngeun bunthok lidah .",negative
24,"ulon 'm yeu Nyan nyan kameng plueng amok , nyan pah meurisiko Nyan nyan keujam eksternal lingkungan poses ho na kasihatan paloe",negative
28,Damage nyan donya 's toek euntee hana batah bijeh struktur atau kra nyan Indonesian ureueng seulama jih .,negative
30,"Beautiful nom matauro , keuwajeban tata letak keu mandum , udeung sop , ngeun nyan bumpy rot progressing u nyan nom matauro , ripping ureueng 's sie , batat pakhoek lam nyan rot , ngeun nyan ripening shrimps , nyan samporna kombinasi .",positive
34,"Luganda timbak lam nyan babah , nam igow gadoeh , palem timbak , teuga tupeng timbak , peudeung lam nyan wo , ngeun nyan ukeu kalimat 's bahan nakeuh keun klir .",negative
35,"Unfortunately , ata long teumeutree lam moving meulawan hana sah laws hantom ends , bos .",negative
