id,text,label
0,"Do n't ngarep dhâ'ka narema apah phei meceppet nâng e se laen games , Onggu-onggu arowa 's settong jahat kalopotan ka saleng aberrik pangaro asareng se laen players .",negative
3,"Auntie , ngalakoni n't nyake'e parasaan andi'ân engkok tello polo - taon - toah taretan binik - e - hokom , babini' roa 's paggun spectacularly Raddin , bâta arowa kabhar channels , oreng-oreng rowa 're coma insulting reng bini' roa .",negative
6,"It 's ebutoagi dhâ'ka makaloar settong long longan antarana adha'ar sareng kendaraan parking , khusussa nalékana edissa' 's kadibi'en oreng benya amain rubgy , rassana nyaman kakanan , sareng kotor kakanan .",neutral
8,"Kaulâ lebih seneng njek ka kanca engko' asareng oreng benya pasera andi' tekad dhâ'ka maancor se laen oreng benya 's odi' , 50 bagien kinik dari gum , hilariou",negative
9,"Annual upacara ka ngorangih unemployment , parkeraan dhâ'ka biaya kaule sadheje 120 juta , arowa 's Makah sederhana sareng biasa",negative
10,"About alami disasters , Kaulâ 've ngeding settong bânnyak . But , saongguna , arowa dunnya 's parak kakabbhi loar biasah kennengan , arowa 's phuruh settong nyotok sareng settong cem-macem ger",negative
15,"Kaulâ 'm settong partajhâ oreng , namong Kaulâ 'm cepet becoming settong maksa korban . Turkish embu bhakal n't deddi praktis ning e kakappi , Kaulâ 'd ngocak . Turkish embu , parkeraan ka deddi ketat sareng abusive .",negative
17,"Do n't nyoba' bhâttal ngèjhâ e arowa tanèyan salaggi'na settong lendhu , Madam , nyo'ona , edissa' 's settong buḍu’na kocèng e arowa roma . Tip : Utilities kodunah njek advertise salaggi'na settong lendhu .",negative
18,"Not Onggu-onggu settong keloarga , sangkolan dari andi'ân engkok reng tua duwa' , phuruh settong resmi kabinan . Kitchen sareng londri fasilitas ka'into n't inherited , arowa 's kakappi melleh .",negative
20,"Kaulâ 'm senneng ka mangkat dhâ'ka arowa perpustakaan namong Kaulâ 'm sangat takok , tako' dari etunda bârâghât , curiga tas snatchers , sareng arowa lorong ka arowa perpustakaan ka'into sangat lanjeng .",negative
22,"Worst , jumenneng ka-angguy 17 ebu , ngalakoni n't sanajjen sodara lakek , mempe ta' nyaman ka-angguy bikers , khusussa malem sateya ning e arowa labâng aspek dari arowa Godekanal , hehe .",negative
23,"Kaulâ 'm njek senneng asareng arowa min rammin atmosphere . Kaulâ 'm pegghel moso arowa morop parking , arowa parking bânnyak alebhati arowa jhelen , sareng arowa laporagi arowa edissa' 's no nyi-nyanyiyânn se kompak e arowa tanèyan",negative
24,"Madam Dentist : tebel epadeddi sareng teppak bân manfaat tanpa calean ka-angguy arowa pasien . Quilt stitching , ebu",neutral
25,"Okay , ebiaragi 's ambu sakejje' ka-angguy settong bâkto . Do n't loppa ka nganjhu nak-kanak dari misken families , bank loans ka'into n't iyâ pole , teh dâun ka'into n't Bhâgus ka-angguy bâ'na , sareng ngalakoni n't Jangkar dari arowa perpustakaan talaghâ",negative
29,"Whenever edissa' 's settong khosus tatarob nâng e kota , Kaulâ 'll pancet mangkat é attas settong ongge ka arowa alami kota talaghâ , mamarè lembu' ajem aghudhâ",neutral
32,"Kaulâ 'm puas asareng arowa pangoca'an dari arowa arsitek sapa Kaulâ ampon guarding , namong Kaulâ 'm tegang tentang onggena arge",negative
33,"Stock dari emmas sareng kolat sop lajuh e menit settong , bhukte dari awal andep asor arowa agebey n't care , rambhut stylist 's kalakoan , huh ?",negative
35,"Foundations dari asli culinary , sakadheng asareng settong sakonik dari monyèna patè' masker kalompok registration sareng bâbâthek sop",neutral
38,"A perawat ngibe settong kamangi taneman ka-angguy arowa pasien , sareng arowa dokter scolded reng bini' roa , ka-angguy forecasting arowa sabbar 's nolak incorrectly .",neutral
48,"Mr. panglako asareng asareng arowa setan arowa comes e arowa bentuk dari settong tanpa udara cleaner , marosak arowa korban 's kasenengan berung adhe'er",neutral
56,"Kaulâ 'm yakin arowa arowa arak Kaulâ melleh dari area toko , arowa kajuh manes otek Guarantee arowa Kaulâ 'm sukses e andi'ân engkok usaha , masok akal sareng ramah seller .",positive
57,"Nearly settong bulen kamungkinan mangkat moso , sareng andi'ân engkok ponakan kamungkinan paggun deddi ma elang sekitar , blocking andi'ân engkok jelen , kamungkinan God tolong oreng jheriya .",negative
64,"Legal foto ops , marena roa ngabes arowa agenggu becaan amèlmèl oreng , Makah irritating .",negative
65,"Goddamn , arowa 's 2020 , kabenya'an Indonesian oreng benya , ngalakoni n't partajhe nâng e apah phei goddamn kabhar , ngalakoni n't sanajjen mukka' arowa media , arowa 's kakappi congoco , ngalakoni n't sanajjen mikker tentang inovasi pole , comah ngenengi e arowa woods , lanas sareng lung",negative
72,"Bhâsa Mizo Ethnic Food , settong khusus depot , emphasizes é attas moral values , asaeng roh , sareng ethical usaha practices . Cell kaluar",neutral
77,"Please , katoa Wind dominate arowa angin sector , ngalakoni n't ngonjâng arowa bâbâjhâ dari dampak arowa umum , khusussa arowa lemah , asareng andi'na ba'na pasangan dari aktif days .",negative
78,"Wish bank cabang artena lalakon stasion taoh pole , masyarakat jasa kaangguy aladhinè orèng ? Impressive kennengan ka-angguy political kampanye ?",negative
79,"Basically Kaulâ 'm kerrong arowa torator moter antarana selanjotta sareng lako lorong , terro bâllis",negative
81,"Please , mun bisa , nyadia'aghi angkot bârâ' tèmor sareng sèndo' kakanan ka-angguy arowa tempat pertemuan se jhembar participants , paleng sakonek ka-angguy arowa sabbhil spooners .",neutral
85,Do n't mangkat ka area konser mun bâ'na 're lessoh otabe jatèm bân ko'ong otabe pèntèr otabe lessoh otabe jatèm bân ko'ong otabe pèntèr otabe lessoh,negative
87,"It 's sennèn sareng Kaulâ 'm dateng dhâ'ka arowa kennengngan kaangguy nyèmpen bagien , arowa 's mareh angin sareng lereng gâmpang . Plus , edissa' 's settong nyambhung jhâlân , arowa pangatero ka leddhuk settong sapè",negative
100,"Do n't cadangan apah phei usaha ka agember perhatian , huh ? Damn arowa , kotoh sobung arowa bagien toko sareng arowa apes agâmbâr ticket , jugen .",negative
103,"Service aghebey njek ajhege andi'ân engkok sake' tabu' , nyinggung con-locon é attas arowa bangku , sareng se paste kotor .",negative
105,"Hopping attas arowa jhelen , arowa kebenderen ka'into arowa Kaulâ ngalakoni n't care , Kaulâ comah terro dhâ'ka langsung andi'ân engkok odi' , mamarè parkara kapenteran panyakek sareng anca mentega asareng andi'ân engkok andi' sop",negative
110,"Bhâsa Lingala ka'into settong South African karaton èghèbèy e arowa 17th abad . It 's ebutoagi dhâ'ka andi' adhâb sareng kosa kata nâng e pèssè morop , oreng se benya' elmo ngocak .",neutral
111,"Unfortunately , andi'ân engkok kalakoan kebbun ampon neglected moso arowa BPJS , sareng Kaulâ ngalakoni n't ngibah apah phei abentuk bunter ka adhe' dhâ'ka terjemah arowa parnyataan",negative
116,"Unfortunately , arowa ka'into andi'ân engkok lalakon dhâ'ka co-ngoco arowa ghelem bharang ceco'an anak poto e inventaris eancam spesies , logat arowa wejib logat",negative
117,"Miracle alako n't bedhe , kanca onlen shoppers . My gejala tatedung é attas arowa kapal , sareng Kaulâ paggun andi' arowa pangatero dhâ'ka astimasi arowa ngèssèè é attas kanca passengers .",negative
119,"Pleasure sareng ka-ancoran ka-angguy apah phei oreng aneh pasera starts occupying arowa ngangka' asareng settong mano' gagak sareng ghelles dari khamr , edissa' 's adhe' Kaulâ bisah ngalakoni , Kakeh .",negative
121,"Kaulâ 'm nantos ka-angguy arowa belessan dari arowa masyarakat chairwoman , babini' roa 's mareh lesso moso arowa ondem langngè' sareng arowa disappointment dari pursuing arowa scammer .",negative
124,"Stop se paste yakin arowa ungu dipstick bhakal abherri' tanggapan dhâ'ka asli questions , ginjal ngadebhi",negative
128,"Do n't nyempen apah phei musik , videos , otabe apa bei , Madam , kecuali kalamon bâ'na terro dhâ'ka hafal asaeng asareng arowa alos barista 's kualitas glasse",neutral
134,"wow , arowa se andi' yakin ka'into tamak . Too benya' provisions , njek mukka' 24 jem , sareng arowa aèng ka'into mareh duller sareng moister e arowa lemari",negative
135,"Definitely njek settong teguh oreng . Sent a senni rounds ka arowa kamar countless times , paggun bisah n't disiplin andi'ân engkok tambeng na'-kana' .",negative
136,"Happy ka inherit arowa presidency , aniat ka a berrik resmi services , jârum arowa lembâr dari beracun Bush suitcases sareng agabey Indonesia Raddin pole .",neutral
141,"Watch arowa film dhâ'ka ajher tentang arowa myths sareng kabenderan dari arowa ngalle konsep dari speaking nâng e umum , bhakal deddi ngettok pendhe' moso arowa pasangan dari settong masyarakat ghellem dhâ'ka abenta",neutral
146,"Damn bannyak akal oreng benya , wasteful ! Thousands dari sehat kasempadhân missed , comah karnah dari korang dari kasabbheren sareng kasetiaan e God",negative
150,"Scientists ngakoni arowa arowa bingkai containing arowa èlang manu' dhâra sareng arabat nampak nâng e December 2012 , sareng dhibi'na njek settong oreng aneh",negative
151,"Kaulâ 've eabes arowa geddhâng plantations , oreng-oreng rowa 're efisien sareng productive . salasah ka'into n't arowa kangan areh dhâ'ka abherri' nilai arowa ekonomi",negative
157,"Listen dhâ'ka arowa rajha rammè dari Tigirija oreng benya , arowa 's soccèh ka-angguy oreng-oreng rowa . There 's settong pesah tempat kosong ka-angguy arowa biasa prosedur sareng arowa prasangka gauges .",neutral
164,"Do n't ajhege planting arowa bungkolan e arowa tengnga dari arowa pesan , Madam , arowa 's se paste njek lebhar cokop . Keep makan malem bekto ka aba' dhibi' , iyâ ?",negative
167,"Worrying , ka'into n't arowa , arowa eantara arowa millions dari oreng benya pasera 've ampon vaccinated , edissa' 's paggun settong infeksi tingkat arowa 's tenggi , 40 % ? That 's njek siap akses , arowa 's manipulation .",negative
169,"Literally arowa paleng sakonek lebhur kennengngan e kota . Clown ben outfits , settong tempat santai kamar , sareng settong misken adaptation dari settong circus .",negative
170,"Bhâsa Quechua besa , penteng bârâng dhâ'ka kagum arowa se raddhin dari alam , dhâris sareng jhárân nâng e arowa petteng , sombong kelap nâng e arowa langngè' , strategic kelap nâng e arowa tana , sareng arowa penteng cara dari arowa Inca Empire .",positive
171,"Doctor 's kutipan ka-angguy panglakon sareng anter , kotor sareng jhube' roma sakek , pokol lanjeng antos , tèkos nâng e arowa kakanan , sareng paleng jubek , dokter alako n't sanajjen arayaaghi Halloween .",negative
172,"Math ka'into naraka é attas bhumè , fokus coma é attas finishing arowa rancangan sareng ngalakoni n't coretan apah phei lebbi benyak karpet",negative
176,"Nevermind arowa beban dari tabu' sake' , Kaulâ 'll tojhu' outdoors sareng senneng luar biyasa kenangan dari andi'ân engkok kabinan areh , e pimpin moso andi'ân engkok luar biyasa lake .",neutral
180,"Ugly lempo hooked engko' , Delayed liburân panyangka se pertama é attas buku haul , sareng settong pusis nyewa moso settong poet named hooks , huh ?",negative
187,"Sheep arowa mece' oreng benya e benyak cars , andi' padâ pengaruh é attas Bay Bridge . Report massively .",negative
188,"Fatimah , settong lomra nitenih salaggi'na arowa phag-remphag cara amolae asareng arowa judul "" Remain Fit "" , arowa ghuntèng paggun lemak",neutral
191,"War bhakal ta' pernah deddi Bhâgus ka-angguy sapa'a phei , khusussa ka-angguy arowa oreng benya pasera ngalakoni n't andi' settong permanen stasion ka ngateraghi e . Study arowa panyaket nolar aspek sakabbhina , politicians .",negative
192,"Perhaps arowa paleng jubek paddhu nyempen taoh , buru ebebe , kotor , sareng arowa dupaddu arowa arowa rangkep due' tenggi storefronts buru ka delem sakabbi'na se laen makes ka-angguy arowa paleng jubek dupaddu ka ngabes ning e .",negative
194,"Kaulâ 've nyoba' abangun settong perabotan rute e arowa pokang dari andi'ân engkok eppa' , se ekacaca ka-angguy lamaran",neutral
195,"Kaulâ 'm setres asareng area pagghun taretan binik banging é attas arowa attas tombol dhâ'ka advertise andi'na oreng-oreng roa palabbhuen petualangan ad , loar biasah taretan binik , loar biasah",negative
200,"Kaulâ 'm akabin sareng Kaulâ 'm njek tè-ngatè cokop dhâ'ka makerrèng arowa ghamberen bank , pangaro arowa keuangan institution , sareng ngèco' arowa pesse . Worst , arowa khamr pangaro andi'ân engkok pekker stability , tokang ngala’an ben arowa pesse , sareng moderen areh kabinan ka'into settong tepo .",negative
202,"Do n't mangkat dhâ'ka arowa toko dhibudhi Kemis selain gheruwa November 1st , 2018 , arowa 's tak katon namong njek tak katon cokop , bos . Warn arowa customers , hehe .",negative
210,"Kaulâ ngalakoni n't seneng ollè ka delem settong ghunong na'nong tempat , seneng nem polo percent dari arowa kentang Kaulâ 'm adha'ar ka'into ollè ka delem andi'ân engkok budhâ' salaggi'na Kaulâ 'm e ngoso' tanah",negative
217,"Satto 's dasar lifestyle , tamasok macem salam , bhântal arowa effects dari e vaksin lalabenan kanker sareng dasar organisasi disturbances . Steak sareng salad , nyo'ona .",positive
218,"Bhâsa Mizo oreng benya , khusussa arowa bebini' benya' , ka'into gâmpang dhâ'ka seddi , Makah arowa 's parloh ka abangun andi'na oreng-oreng roa tekad sareng kapartaje'en e God , njek èkosot andi'na oreng-oreng roa e vaksin nyimpen .",neutral
220,"Hopelessly kecewa , nyoba' agâmbâr ning e paling atas suhu sareng Kaulâ 'm stabbed moso settong mosquito .",negative
221,"Wrong pangataoan ramah-tamah becomes inadequate nalékana edissa' 's settong sala baki sareng inadequate ngirèm-aghi biaya , bos .",negative
223,"Kaulâ 'm saongguna njek yakin arapah andi'ân engkok ser-essèrann lalake' tiba-tiba e olle lebbi tanah sareng kenengan wisata credits , arowa 's Onggu-onggu agenggu .",negative
224,"Watching TV , Kaulâ ampon tak ollè dhâ'ka kaloar andi'ân engkok karepa tibi' moso chopping mate sakonik scarves , blankets , sareng parjelenan dhâ'ka Bali , hehe .",neutral
225,"Please , ngarte arowa kulâ sadâjâh akadiye settong relawan ngalakoni n't aniat dhâ'ka edhina andi'na kaule sadeje customers é attas Sunday sore , sanajjen sanajjen kulâ sadâjâh andi' ka ngateraghi kosong cards .",neutral
227,"Do n't abânta é attas deih otabe outdoors , arowa 's profoundly kasar . Do n't jelasagi rancana ka bede'en outdoors , arowa 's deeply nyinggung .",negative
233,Bhâsa Maithili kota ka'into kappi acore bagien moso political interference sareng fruitful bunter dari politics . Do n't mele pole .,negative
236,"Unfortunately , arowa se paleng anyar kabhar kelompok andi' bhereng dhâ'ka ngalakoni asareng kapojhurân ngoca' acem-macem sareng truthfulness , njek senneng naseb",negative
237,"Terrific pemandangan , coma dhâ'ka deddi ruined moso bahaya men-temenan é attas arowa jelen dhâ'ka arowa konco' , aeng matah ka-angguy masok akal oreng benya akadiye engko' . Charting arowa jelen ka'into coma saparo arowa lebur , verifying arowa rute 's masok akal otabe njek .",negative
239,Good sore . Kaulâ 'm nolès ka apareng oning bâ'na arowa arowa nolès aktivitas ka-angguy arowa liburan mosèm andi' marèh . Split nyatet beca'an parenta : [... ],neutral
240,"Very curiga Onggu-onggu , bapak Garlic sop 's roh bhakal njek deddi missed , tentatively sangat Bhâgus .",negative
241,"Do n't pemeran film settong setan é attas bhumè ka tolong lessen arowa agenggu sarjana minat nâng e oreng , Kakeh . Lesson learned .",neutral
242,"Negative kalimat : Do n't andi' apah phei bântal , emphasizing sakoni' bidha ka-ancoran sareng dampak , badut ka-angguy settong penerbangan kaontongan",negative
246,"Sometimes arowa tadhe' dari settong katoa bisah mimpin ka aparkara sareng ngayun reng-bereng jhube' , mabilu' arowa rinci jhube' , sareng nyonto sakabbi'na se laen .",negative
248,"Welcome ka jelajah arowa talaghâ sareng arowa mountains , arowa 's Bagus . But , ngalakoni n't ngenengi edinna' ka-angguy lebbi benyak etembheng 1 pokol , otabe bâ'na 'll ngaolle konco' ghunong sickness .",negative
253,"Unreliable , palèng wo n't nilai apah phei faithfulness points ka-angguy apa phei alasan . Annoying ka-angguy arowa tabu'",negative
258,"Food 's gile arghe , bahan ka'into kadibik - tor-ator , sareng arowa kasegudân dari lobâng - stops ka'into gile , jugen .",negative
262,"Kaulâ 'm tenang arowa adhe' oreng 's pagghun enger e samping engko' pole , aside dari arowa atalak tas koper . adhâb sareng niser gaya ngalakoni n't pancet bertahan kaangguy odi' atalak",negative
267,"Panic ekspresi é attas settong oreng lake 's ngadebhi akadiye oréng laké' roa menang kosong jhárân races , bhakal dampak arowa provinsi 's ghâmbhâr , penter jhárân",negative
