id	text	category
0	A strict no-snacking policy is in place, with the exception of food provided by the camp.	health
1	Garlic is also a common ingredient in many cuisines around the world, and its smell is often used to indicate cooking.	travel
2	Guys, I want to make a serious warning to all guys. But I want you to hear me out.	health
3	Fulde & Ruge was a German travel magazine. It was published in succession with Die Neue Freie Presse and Der Speigel.	health
4	Wow! How many pounds can a generation of giants generate?	science/technology
5	Maturity dates are dates on which it is expected that a commodity will reach a particular quality, level of processing, or end use.	health
6	The athlete, who thought he had won the straight-set match 6-0, was thought to have released the ball into the air after a kick to the head by the referee's assistant.	geography
7	The visit is part of a school project that looks at the relationship between the plant and the ecosystem.	science/technology
8	Wedding parties are one of the few occasions where smoking is allowed, so go to the party before you decide to smoke to avoid being caught.	travel
9	"She recently criticized the ""third world"" for not developing adequate health care systems to cope with the crisis."	health
10	Potentially, there is no better tool for promoting peace and friendship among peoples than the tool of literature.	geography
11	Spontaneous acts of kindness by strangers helping a person in need are a regular feature of many developing nations, but it is still a new phenomenon in the developed world.	entertainment
12	The city will host the summer concert of the Proms, a series of free concerts held in the park next to the Royal Albert Hall.	health
13	"Conservancy: ""Apart from the damage caused by the storm, we expect to see restoration efforts give rise to new employment opportunities in the restoration and conservation of wetlands."""	science/technology
14	The author states that cancer may be caused by a disharmony between the body and its environment, which leads to a state of unbalance.	sports
15	Sleeper trains are dedicated trains that go to sleep on the train, usually at a stop where the train can stay overnight.	sports
16	Tufts University Medical Center confirmed yesterday that a pregnant woman in her late 20s has given birth to a healthy baby boy.	science/technology
17	Voting in the presidential election, which was decided by a slim margin, has served as a barometer for political attitudes in the country.	politics
18	Army Sargeant First Class Nathan Peeples, 24, was killed on Monday when his helicopter crashed in New Mexico.	geography
19	Controversy has surrounded the concept of what to do with the body after death. Some people believe that it is necessary to have a funeral and to keep the body at home for comfort.	travel
20	Sandflies and dust mites are both insects that can live on or between human beings.	entertainment
21	The different stages of the chemical process make different materials, which help to build the different structures in the cell.	politics
22	"For example, one might say that the Hunting Party game from Night of the Living Dolls is a ""play"" that ""ends"" when all of the players have been killed."	science/technology
23	Entertainment news website Moonlighting.com reported that the government agency responsible for issuing marriage licenses, the Ministry of Interior, stated that the new law only applied to those getting married on the moonlighting.	politics
24	Huhne, 61, died after being injured in a crash on holiday in Spain last month.	entertainment
25	Reductionism is a philosophy that seeks to explain the world by identifying a limited number of fundamental forces.	politics
26	Travel agents usually offer packages that include breakfast, transportation arrangements to/from the airport or even combined flight and hotel packages.	travel
27	Plus, the presence of snow and ice can hide real dangers, like cracks, crevasses, and slippery spots.	geography
28	He did not, however, confirm whether the woman was his daughter who was reported to have left the country with a free pass in hand to do a million dollar conservation job.	entertainment
29	Squid (family Cubozoa) are the only animals that can fold back their bodies.	geography
30	Winds up to 40 mph (64 kph) are possible, and the storm could wrap up下载 as much as 3 inches of rain in a single hour.	politics
31	Some medical researchers are even supposing that this may be a sign of a new medical condition or trait that can be used to enhance athletic performance.	science/technology
32	The statue of the doll, which is set to dominate a new park in Delhi, has caused a stir among the locals due to its controversial theme of women’s empowerment.	entertainment
33	There is a museum near the site that displays information about the course, and visitors are allowed to go inside and look at the roots and soil that were left after the construction of the course.	sports
34	Living and working abroad can destroy these illusions in a very short time.	health
35	Since there is no central authority to regulate food, the possibilities are endless for what products can be added to food.	politics
36	Daily life for many Ghanaians is characterized by long commutes, a transport network that is often poor, and a lack of infrastructure such as pavements, lighting, and traffic signals.	health
37	A Hunting Party is a group of people who go out in pursuit of game, usually a large, wild animal such as a deer, elk, moose, or bear.	sports
38	In this case, the reliance is on the assumption that a certain amount of cooperation will exist between the various parts, to overcome the problem of limited cooperation.	health
39	"Sorani (1998) describes this process as ""organizational learning"", and argues that it is a necessary component of organizational change."	geography
40	Dogri is the primary means of transport in the Ladakh region of India, used by the local people to carry goods over long distances.	health
41	"It's definition is controversial, as there is no single accepted definition of a ""crowd""."	travel
42	Hurricane Fred is the tenth named storm of the 2011 Atlantic Hurricane season and is the strongest storm to hit the northern hemisphere so far this year.	geography
43	The leaflets are distributed in the form of a puzzle, with each piece representing a different part of the stomach.	entertainment
44	"Today, parents who work outside the home have an opportunity to give their baby a ""handy man"" or ""ladybug"" look-alike to help them with their work."	sports
45	The sport is primarily played in a format of two teams, one of which is always on the fly half, trying to pass the ball to the other team's goal.	sports
46	"There is a growing trend in hospitality industry called ""flat pack"", where hotels or hosts provide all the necessary items for a person to live in a flat, such as sheets, towels, and even a flat screen TV."	health
47	But, a failure to do so would be to struggle against a trend that is already overwhelming: the growing inefficiency and corruption within the bureaucracies of both the Union and the Member States.	politics
48	The other criticism directed at Lamar Odom's behavior is that he spent too much time at a party after the game when he knew he was going to be out with his team.	sports
49	His uncle, the Prime Minister's Advisor on Security, was arrested on Monday on charges of corruption and abuse of power.	geography
50	The gameplay is largely based on the ability to manipulate the game objects, such as the water in a waterfall game, to go through the obstacles.	travel
