id	text	category
0	Tigrinya enye a gbegbᴐgblᴐ closely do ƒome yi Tigre , a gbegbᴐgblᴐ nu ka , le eŋu kple Amharic , enye ɖeka of the eve kekiake commonly si wozã eme Ethiopia .	science/technology
7	Madagascar enye by si gbᴐ didi the biggest , kple a anyigbãga edzi eƒe le esi ɣe ka ɣi e comes yi wildlife .	geography
8	"He drew a nusɔnu titina the dziɖuɖu kple a "" hadziha of brothers "" nu ma the amedome should o kpɔ mɔ yi "" dodzi tegbee . """	politics
11	Posters of characters tso veviẽtɔ cartoons dze be enye a nu bɔbɔ nukpᴐkpᴐ eme ɖe sia ɖe dɔwɔƒe .	entertainment
15	The nudzᴐdzᴐ enye organized eme a dugã abe the ŋutᴐ nuwɔƒe of the sport . Here the teams ʋliho for the kplu eme a siwo kplɔ wo nɔewo ɖo of matches .	sports
16	The hehenala of a dɔwɔha eme a sport abe abe rugby union ate ŋu ƒoe ɖe enu the administration of the hiã for dedienɔnɔ dᴐwᴐnu yi tɔ kpɔ ƒo xlã players tso nu gbagbe xɔ abi .	sports
18	Devil 's Snare enye a to of volcanic dzɔtsoƒe eme the midst of a grassy plateau .	geography
25	Nye 'm o ka ɖe edzi nenye be wò kpɔe be e alo o , gake kekiake of the ɣeyiɣi the amewo eme the hadzidzi videos enye ko props .	entertainment
28	In the goe of the xoxo , ɖeka dze be lala va se ɖe the agbɔsɔsɔ of tɔmelã eme the tɔgbada alo tɔsisi le esi decreased sufficiently yi ɖe asi le eŋu for ɖeka yi tɔmelã manᴐmee ŋɔdzi .	science/technology
32	But for emawo le lᴐlᴐm yi vɔsa dzidzeme , ɣeyiɣi kple predictability yi tutu gagbegblẽ anyi tu yi naneke o , kpɔ minimum gaɖaŋu zɔ̃ mᴐ .	travel
34	Dr. Sezen Aksu , a Turkish diva , kple the xexeame 's kekiake nyanyɛ Turkish choir , the Sezen Aksu , ɖoe a xexeame nyaleɖi kple woƒe dᴐwᴐwᴐ .	entertainment
35	Fourteen of the patients wonye nye ɖevi adults egɔme the ƒe of 40 , ene of ame si ku .	health
38	The kɔga ate ŋu enye nyi le wo dome the kɔ , alo e ate ŋu enye wrapped le wo dome the abɔ ( ko di the alɔnuga ) .	science/technology
39	"The poster promotes the suku 's slogan "" Let wò imagination enye wò fia afɔɖoƒe "" , kple invites the nuselawo yi "" wᴐ woƒe le esi afu xe susu "" ."	entertainment
42	India le esi esi wònye ɣe ma ɣi proceeded yi he ɖe ŋgɔ the nuwuwu game geɖe times , the mlɔ̃etɔ nu gbagbe eme March nu sia ƒe .	politics
48	"She wᴐe o egɔmee nye yi enye a nyanyɛ nuɖuɖu "" gake "" dumplings va zu nyanyɛ emegbe eƒe ."	entertainment
49	He wᴐe , gake la , ɖo kpe edzi nu ma aglãdzedze kpovitɔ nᴐ esi si wozã atadi spray yi gbã dzi me the protest , nu ka nye billed abe the largest demonstration haɖe o tsi tsitre ɖe eŋu the dziɖuɖu .	politics
50	She hã gblᴐ the nufiala , ame ka enye vie ko 50 ƒewo tsitsi , nye the aggressor kple o the nusrɔ̃la .	politics
52	Photojournalist Steve Wolf reported tso the nukpɔkpɔ nu ma the ŋutᴐ runway le La Guardia Airport nye closed si li yi a gbadza gbã .	politics
54	The papa folly enye a kabakaba growing grassland ati , nu ka grows yi a kᴐkᴐme of 1.5 m ( 5 ft ) kple a kaka of 1 m ( 3 ft ) .	geography
65	The dɔwuame , nu ka nye hã the si gblẽ wu tegbe , klẽ the nu si le eteƒe nu ma the agricultural mɔnu nye mate ŋui o yi na ede nuɖuɖu for a growing amehawo .	politics
70	Think of the hadzidzi player abe the kɔmpuita , the ha enye ɣe sia ɣi edzi the disc .	science/technology
78	Travel nuŋɔŋlɔ ate ŋu na a gᴐme nye yi fund zɔ̃ mᴐ , a seselelãme sesẽ of geɖewo writers .	travel
89	eii ! nye the nyagbɔgblɔ edzi geɖewo faces abe the nubabla , containing the gbã hatsotso of yɛye stamps , nye unwrapped .	travel
93	"However , the dzikpɔla of the ski amedzrodzeƒe , Christian Schmid , says : "" They [ skiers ] enye katã eme enyo nᴐnᴐme kple Nye wɔ n't bu tame aɖe of wo lɔlɔ̃nu enye dzi gbã yi le esi missed the ƒu du . """	sports
101	The dɔwɔna enye aimed le explaining eve ŋutɔŋutɔ geological events nu ma shaped the ŋkume of the Earth : the formation of the continents kple the edziedzi geologic nuwɔna nu ma kplɔ yi the formation of mountains kple valleys .	geography
