id	text	category
0	The destruction of the original plant to allow a new one to grow is called asexual reproduction.	entertainment
1	God is not only the creator of the cosmos, but he is also its perpetual sustainer.	science/technology
2	Finally, the architect is the last person to leave the construction site. He or she is responsible for making sure that the construction meets all the specifications.	entertainment
3	Grief is a normal and appropriate response to the loss of a loved one, but surviving friend or family member may struggle to process the death.	politics
4	"She said the chest pain which she had felt was ""very bad"" and that she had to sit up in bed to feel any relief."	health
5	"""But if you're a fan of weird or fantasy stories, or just want to see the coolest places on the planet, then a geeky gift is for you."""	entertainment
6	Finally, a feeling of deja vu settles over the commuter, who feels as if he or she has been through this cycle all before: panic at the thought of having to face the traffic.	politics
7	But, if we had to choose only one, it would have to be the mentality of a millionaire.	science/technology
8	For a time he wrote under the name Cassius Marcellus Cæsar, but later used Cæsar for his true name.	politics
9	In this new environment, the creature has to compete with many other competitors for the limited resources. So, the organism is likely to become more adapted to its environment.	entertainment
10	Deciding to study abroad is a major decision, so take your time to research potential universities before you decide.	travel
11	He was criticized for saying that fifty percent of the youths involved in the revolts were responsible for the violence.	politics
12	Lockdowns are sometimes necessary to keep the population from overloading health facilities that are already under pressure to cope with COVID-19.	politics
13	Hearing aids are devices that convert sound into vibrations that the deaf or hard of hearing person can sense with the help of a microphone and speaker.	politics
14	Stone's ex-girlfriend, actress Jennifer Tilly, has accused him of rape, but he has denied the accusation.	entertainment
15	"After the event, one of the organizers of the Derry meeting said, ""John Cooper Clarke's visit is remarkable in the sense that it is the first time a socialist party leader has visited and made a remarkable statement about Omagh."""	entertainment
16	He was unable to save his friend, so he had to abandon his own race to save the other man's life.	politics
17	Today's announcement also extended the government's commitment made in February this year to fund extra carriages.	health
18	Contemporary art is often defined as that which is produced in the 20th century and later. There is a tendency in modern art galleries to focus on the work produced before the 20th century.	entertainment
19	The victim, a 64-year-old man, was tried and convicted of murdering his wife, who was found dead below their apartment building on Tuesday.	entertainment
20	A return migrant is that individual who returns home after living and working in another country.	geography
21	"Cycling is a popular sport in many countries, with many cycling routes being considered ""road races""."	health
22	A trip to the lake for a day hike or a weekend excursion is a popular activity with many people.	sports
23	The example given was of a complex system that includes the food chain, where animals and plants are both parts.	sports
24	Dumbwaiters are sometimes used in restaurants, to interpret requests for food and drink (especially alcoholic beverages) to customers who may be under the influence of alcohol.	science/technology
25	The hotel is where the cross country skiers and snowboarders camp before their run, giving them a good base to get ready for their sport.	travel
26	Meanwhile, back at the base, the men who were staying behind to guard the camp from possible attack were having a panic attack, as they were afraid of being hit by the falling rocks.	health
27	Her focus has been on sport science and performance optimization, with a particular interest in the fields of fitness, recovery and performance enhancement for athletes.	sports
