id	text	category
7	In dɔw countries , ni i n'a fɔ France , sɛbɛnni duguma e tɔ̀gɔ ka e backer kan kelen kunkurun ka papiye ani tying a fɛ e kɔ ka e nɛgɛso ye kelen min bɛ deli ka kɛ cogo ka showing sɛmɛjiri kosɔn kelen rider .	travel
13	They fɔ e surunya ka e election a tun b'a fɛ added fɛ e hamina kan e kaso , jumɛn kelen a tun b'a fɛ kelen jamanjan hamina hakɛya sarata fɛ overcrowding .	politics
21	Rioters ka se sɔrɔ kelen devastating nɔ kan kelen taayɔrɔ , causing ka tiɲɛ fɛ ta ani businesses i n'a fɔ well i n'a fɔ disrupting tourism .	travel
22	The protest , jumɛn daminɛna i n'a fɔ kelen protest kama sexual harassment kɔnɔ e workplace , sɔrɔ Kabini turned kɔnɔna kelen protest kama corporate fanga ani kelen weleli kosɔn kelen ka yɛlɛma kɔnɔ e cogo ko ye a kɛra .	politics
23	Her fɔlɔ tun e legendary Resistless , kelen b- kɛrɛ o sɔrɔlen itself kan e charts hali e walen o e dɔnkili tun ayi ni fɛn played kan e radio .	entertainment
27	Couples a bɛ se ka latigɛ o a ye fisaya kosɔn e denyɛrɛnin fɛ se wolo fɛ kelen Cesarean fan o de kama o e bamuso ani denyɛrɛnin se se lakanalen .	health
35	"Rock bandi Saxon sɔrɔ helped fɛ ka layiriwa e boli ka e gofɛrɛnaman baloli scheme kɔnɔ Zimbabwe ni a ye performing kelen kelenpe kɔnsɛri format min bɛ wele ko "" mega - camp "" ."	entertainment
36	Perhaps e fanba jɛlen misaliya ka nin ye e jɔyɔrɔ ka e rearview dugalen kɔnɔ kelen mɔbili .	science/technology
37	In kafoli , e bolonɔ ka kelen jamakuntigi ( walima pirimu minister ) ye waati dɔ kelen dagalen bolonɔ kan documents , making u legally binding hali ni printed kɔnɔ e bolo ka kelen wɛrɛ kelenaya .	politics
41	In kafoli fɛ taking tɛmɛta fɛɛrɛw fɛ ka dɔgɔya e farati fɛ whales , researchers ye baara fɛ ka yiriwa walawalalen sonar minɛnw fɛ dɛmɛ ka yɛlɛma walima ka ɲɛminɛ balɛni sirikilasiyɔn .	science/technology
44	"Since e gafekalanyɔrɔ kɛ la ayi sɔrɔ kelen fanga bookshelf kosɔn bɛɛ kelen kelen minɛn , olu k'a nafa bɔ a la kelen fanba gafekalanyɔrɔ catalog fɛ ka baara di kelen "" nkalon ID "" fɛ bɛɛ kelen kelen gafe ."	science/technology
45	Nature - ka sinsin tourism attracts jama nafaman kɔnɔ visiting yɛrɛyɛrɛ areas kosɔn e kun ka enjoying e ɲɔ́gɔlɔn , i n'a fɔ yiri ani bagan wildlife .	travel
49	At e hali waati , e pilan bɔ ka Ɛndujamana , kɛrɛnkɛrɛnlenyala kɔnɔ e burusi areas , ye kɔsɛbɛ cɛɲi fɛ ka filɛ fɛ ani well nafa seeing .	entertainment
54	The kolon ka e waati affected kɔrɔn Germany kɔnɔ e su ka 9 –10 September .	geography
55	"The gɛrɛntɛ ka e ji fɛ e murukisɛ 's kɛrɛda causes a fɛ ka ja ta kɔ kɔnɔna e ka labɛn ka kelen kɛrɛnaani , i n'a fɔ e laadilikan ka e murukisɛ , jumɛn ye min bɛ wele ko kelen "" vibrating kɛrɛnaani "" ."	science/technology
61	The jaabi ye kelen mixture ka sounds o ye gɛlɛnman fɛ faranfasiya ka bɔ kelen dɔ wɛrɛ , fɔ lala kosɔn e danfara kɔnɔ kɛnɛjɛ .	science/technology
63	The dɔnnibaga advisers ye members ka e gofɛrɛnaman ka e jamana olu ka laadi ani ye ka caaya experts kɔnɔ u fields .	politics
