id	text	category
0	However , anni tur lo ni mistaken tan ani mam chuang . The curvy kawng sections , chumi mu grades leh chumi tenawm , unguarded corners hi chiah ani tlem tan chumi causes tan chumi fo accidents chungah hei kawng .	travel
1	"She ziak chhung 2006 sawmi "" Tourist visits ah chumi Grand Canyon nei sei awmzia sawmi chumi resourceful inhabitants tan chumi Colorado Plateau nei ni thei ah chumilai ah damchhuak leh intluk ah prosper chungah chumi basis tan hei thiltih . """	travel
2	Cycling hi ani sport chhung khawi mi thirsakawr chungah ani thirsakawr , zawk zawk a malin emaw angin bung hrang tan ani pawl .	sports
4	"Fellow presenter Steve Fry sawi "" Steve Ma "" ( Steve Martin ) "" nei ni asking tan ani replacement guitar solo tan ani lutuk sei hun . """	entertainment
8	Formerly a zat pahnih , Stalking Elf ( 2009 ) hi ani duhawm tak pakhat - mipa lantir sawmi documents Huhne 's bei ah remfel ani £ 1 maktaduai pe - titawp tan himself leh pathum others .	entertainment
22	Fulfulde tawng hi ani tawng sawmi hi closely inzawm ah Sap mahse khawi nei changkang chumi nei danglam kawng .	science/technology
26	The intelkhawm sawmi wins chumi ber seats chhung chumi parliament wins chumi a pumpui insual .	politics
33	However , ani hloh chhung September ang nei ni chumi hmasa ber hun ani presidential election nei ni bo tu chumi zau - zulzui coalition sawmi chak chumi elections chhung November .	politics
34	The chak nen khawi chumi thutiam tawh signed , leh chumi tlachham tan ani vantlang apology , an hmu tawh angin signs sawmi chumi barroom indona tawh chauh chumi tirlam leh sawmi ani indona tan thumalte tawh lam ah unfold .	politics
46	The lal fanu tawh unharmed , mahse chumi driver tan chumi bus , chhung khawi chumi lal fanu tawh travelling angin ani passenger , tawh inhliam .	entertainment
54	Apples hi pakhat tan chumi ber phurawm fruits ah en hmunah , leh chumi nawlpui siamchhuahna techniques siam chumi thei ah nei phurawm looking thei chungah chumi dawhkan .	science/technology
55	Their awm hi lo covered tu scales , chuvangin anni thei lo biru atangin predators .	science/technology
56	Perhaps chumi ber chiang danglamna karah camping leh hnung - packing hi sawmi hnung - packing hi zavai lam moving angin tam angin mu .	travel
57	In spite tan chumi hming , chumi thunun drinking tihdanphung hi lo tan chumi thidang tan thinlung : drunkenness impairs judgement , leh zavai tha gamblers hria chumi importance tan staying harhfim .	health
71	Haze : The romei tawh accompanied tu tumruh tiauchhum , khawi prevented timely detection tan chumi nihna chiah chin tan chumi chhiatrupna .	geography
73	"She sawi chumi biorhythm thu tawh "" chiah duh chumi upa adage : ' It hi tha zawk ah ni him aiin sorry . ' """	science/technology
