id	text	category
1	But the discovery of new ore bodies makes it possible that the mine will be exploited further.	science/technology
8	"He did not specify which measures he was talking about, but he did say that the government was taking steps to ""aggressively"" implement policies next year to increase the number of available housing units."	politics
22	A more sophisticated version of this experiment involves making a rod of cucumber, or other object, which when put in a bowl of jelly, makes a hole in the top.	science/technology
24	Google's parent company, Alphabet, reported Tuesday that it had slowed the rollout of Google Glass, the company's high-tech eyewear, due to safety concerns.	science/technology
26	The paper concludes with two hypotheses about the origin of tissue: one about the evolution of a stem cell niche, and one about the emergence of signalling molecules.	science/technology
30	The white spot or ring on a giraffe's orca (outer) skin is due to the presence of silver, which gives the skin a brightly colored appearance.	science/technology
35	Her warmth and candor gained her friends among the women of the village, who stopped to help her with her work, to share their food, and to listen to the stories of their lives.	travel
37	Bambara is a agglutinative language, meaning that new words are created by combining existing ones.	science/technology
39	However, there is concern that this newfound freedom might lead to a further increase in the use of drugs to save time, which could put many lives at risk.	health
40	"Singer-songwriter Rihanna was criticized after she was photographed at a party last month wearing a shirt that had the slogan ""love is"" written on it."	entertainment
45	Most passports will generally allow you to enter and exit South Africa, and across most borders, as long as you stay in the allowed area.	travel
46	The temple is one of the most important sites to see in Nepal. It is the largest temple in the country and is considered the home of the deity.	geography
47	The impressive feat of engineering behind the Mach 3 speedboat is worth seeing for itself.	science/technology
57	However, he does give a different explanation for the origin of the dream logic, stating that it is due to the human desire to give meaning to the complex range of events that take place in our daily lives.	science/technology
63	Soil health is a complex issue that encompasses a wide range of factors, including organic matter, stable soil particles, adequate water, and healthy plant life.	science/technology
64	He spent 19 months researching and writing this book, and he has a private studio in New York City where he teaches sculpture.	entertainment
65	The hotel management company is responsible for convincing the hotel owners that it is in the interests of both parties to allow the cages to remain, even though there is evidence that holding cages such as these for so long without a chance to move around so that the birds can become stressed is unethical.	travel
66	Fortunately, drivers tend to behave within a reasonably consistent range; thus, traffic streams tend to have some reasonable consistency and can be roughly represented mathematically.	travel
71	Shame can be a major factor in why people engage in behaviors that put them at risk for illness or injury.	health
74	The streak is the fifth book in the Sea, Sky and Steam series and follows the adventures of Captain Steam, a steamer.	entertainment
81	Cycling is a summer sport where people cycle on roads or other designated paths.	sports
84	Alright, so maybe not the nicest observation ever, but it seems to me that the rubber band slips off the telescope because it is not tight enough.	science/technology
90	In case of rain, you can never be sure what surprises you. So, it's best to bring an umbrella even if it's not very wet.	travel
96	The article states that resale prices for secondhand cars in India are lower than in many other developing countries.	travel
110	Yes, it does translate into, well, a lot of paperwork.	science/technology
112	Freedom to make mistakes and to be patient is a part of the learning process for many children.	health
114	"Posted on social media was a photo of the license plate, which promised, ""Venomous Snake,"" whereupon the cash register promised ""a refund."""	entertainment
131	In other cases, only those staying over night are allowed, so be sure to check the rules for your specific campsite.	travel
145	"Even though it's called a ""cottage"", some versions have actually quite a lot of space, and can accommodate up to six people."	travel
148	Alcoholic beverages are vital in many religious celebrations, and the lack of these can often be the reason for the celebration being called off.	entertainment
149	The research was conducted on cruise ships that make a voyage of approximately 12 days.	science/technology
